frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
16,2,670.497,135.729,631.358,22.151,0
16,6,1146.62,441.266,1060.45,300.228,0
16,7,525.474,118.053,476.559,57.3018,0
16,5,850.674,116.037,807.742,67.1283,0
16,10,168.994,413.908,106.287,321.812,0
16,12,617.667,417.761,507.945,272.796,1
16,8,974.179,196.466,927.188,69.077,0
16,11,396.206,100.375,353.213,49.4443,0
16,13,460.85,114.089,415.886,63.1554,0
16,9,382.544,5.35218,366.821,5.34677,0
16,14,86.6916,72.97,55.2819,4.39342,0
17,0,786.114,135.656,739.112,24.1104,0
17,1,707.712,568.686,556.949,406.075,1
17,3,901.709,131.717,868.308,55.2845,0
17,4,282.616,165.092,225.684,37.8063,0
17,2,668.6,149.409,631.289,22.1662,0
17,6,1146.62,441.261,1060.45,300.2,0
17,7,525.472,118.032,476.55,57.3041,0
17,5,848.827,116.035,807.767,67.1279,0
17,10,168.965,413.912,106.298,323.732,0
17,12,617.682,415.865,507.989,272.705,1
17,8,974.169,196.455,927.193,69.0853,0
17,11,396.225,100.369,355.074,49.4485,0
17,13,460.839,114.086,415.919,61.2661,0
17,9,382.554,5.35323,366.826,5.34797,0
18,0,787.992,106.274,739.098,24.0814,0
18,1,707.71,568.684,556.946,406.039,1
18,3,901.71,131.722,868.309,55.2848,0
18,4,282.638,188.551,225.687,37.8091,0
18,6,1146.62,441.268,1060.45,300.184,0
18,5,848.821,116.077,809.621,67.1105,0
18,12,617.647,415.822,507.963,270.791,1
18,7,525.462,117.957,476.551,57.3037,0
18,10,168.969,413.93,106.282,323.731,0
18,8,974.176,196.452,927.188,69.0851,0
18,2,666.689,149.382,627.41,23.9502,0
18,11,396.244,100.366,355.079,49.4582,0
18,13,460.855,114.134,415.884,63.1587,0
18,9,382.551,5.35338,366.823,5.34803,0
19,1,707.715,570.501,556.945,406.008,1
19,0,789.952,110.225,740.973,24.0786,0
19,3,901.708,131.74,868.32,55.2858,0
