frame,numero_pers,joint,x,y,z,tracking
7,7,15,-152.25792,-1166.4088,0.0,7
7,7,16,-167.80472,-1166.3501,0.0,7
7,8,15,-699.36774,-1555.1311,0.0,8
7,8,16,-683.96106,-1455.6204,0.0,8
7,9,15,-222.49597,-1149.918,0.0,9
7,9,16,-243.41457,-1149.8401,0.0,9
7,10,15,-315.90918,-1175.9849,0.0,10
7,10,16,-317.2856,-1175.9797,0.0,10
7,11,15,-404.90366,-1045.7633,0.0,11
7,11,16,-434.01,-1030.403,0.0,11
7,12,15,-382.96954,-111.33891,0.0,12
7,12,16,-382.96954,-111.33891,0.0,12
7,13,15,-722.6739,-1215.6431,0.0,13
7,13,16,-722.6739,-1215.6431,0.0,13
8,0,15,-58.332195,166.70404,0.0,0
8,0,16,30.906971,194.03757,0.0,0
8,1,15,352.49298,-110.10535,0.0,1
8,1,16,351.78366,-115.42628,0.0,1
8,2,15,-100.24521,-406.27017,0.0,2
8,2,16,-102.84794,-173.6633,0.0,2
8,3,15,150.13826,-1303.2562,0.0,3
8,3,16,106.784836,-1203.1299,0.0,3
8,4,15,337.4374,-1124.3645,0.0,4
8,4,16,313.2619,-1124.2769,0.0,4
8,5,15,202.86147,-1162.4602,0.0,5
8,5,16,186.28514,-1162.398,0.0,5
8,6,15,269.3761,-1206.7006,0.0,6
8,6,16,253.08943,-1206.637,0.0,6
8,7,15,-152.25276,-1166.4132,0.0,7
8,7,16,-167.80392,-1166.3545,0.0,7
8,8,15,-699.3528,-1555.1467,0.0,8
8,8,16,-683.9472,-1455.6405,0.0,8
8,9,15,-222.48851,-1149.8252,0.0,9
8,9,16,-243.41032,-1149.7474,0.0,9
8,10,15,-315.94998,-1176.4335,0.0,10
8,10,16,-317.32587,-1176.4282,0.0,10
8,11,15,-404.66443,-1038.584,0.0,11
8,11,16,-433.48294,-1024.6466,0.0,11
8,12,15,-382.95758,-111.25368,0.0,12
8,12,16,-382.95758,-111.25368,0.0,12
8,13,15,-722.62646,-1215.941,0.0,13
8,13,16,-722.62646,-1215.941,0.0,13
9,0,15,-58.373436,166.35211,0.0,0
9,0,16,30.845875,193.68292,0.0,0
