frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
18,5,137.672,415.867,90.6418,323.783,0
18,6,974.167,198.348,927.194,69.1066,0
18,10,523.526,208.147,478.547,59.2472,0
18,7,846.836,115.991,805.663,69.0621,0
18,8,94.5428,71.0798,55.2991,5.34537,0
18,11,458.883,190.516,413.813,59.2852,0
18,9,607.82,415.868,509.834,290.525,1
18,12,400.135,114.139,337.437,5.3529,0
19,2,1150.41,441.333,1064.28,304.062,0
19,1,782.161,133.797,740.965,25.9542,0
19,4,270.848,159.144,225.774,24.1318,0
19,3,905.619,180.742,860.565,55.3861,0
19,0,696.002,570.674,552.928,402.2,1
19,5,137.67,415.855,90.6491,323.786,0
19,6,974.176,198.364,927.193,69.108,0
19,10,523.53,151.355,478.553,59.2489,0
19,7,846.844,116.007,805.648,69.0521,0
19,8,94.5562,71.087,55.3071,5.34529,0
19,11,458.88,186.617,413.8,59.2778,0
19,9,607.852,415.877,509.833,290.517,1
19,12,400.136,114.135,337.443,5.35597,0
20,1,780.254,133.777,740.965,25.9557,0
20,2,1150.41,443.187,1064.29,304.061,0
20,4,270.871,159.188,225.775,24.13,0
20,0,695.996,570.676,552.953,402.155,1
20,3,907.59,190.537,860.578,55.4136,0
20,5,137.681,415.852,90.6575,323.793,0
20,6,974.203,198.35,929.044,69.1065,0
20,10,523.529,200.325,478.547,57.3977,0
20,7,846.866,116.037,805.632,69.0321,0
20,9,607.857,415.872,509.835,290.512,1
20,11,458.88,198.379,413.811,59.2796,0
20,8,94.5518,71.0705,55.3055,5.34513,0
20,12,400.137,114.109,337.46,5.35568,0
21,1,782.161,133.792,740.966,25.9598,0
21,2,1150.41,441.335,1064.27,304.064,0
21,0,696.005,572.499,552.946,402.14,1
21,4,270.817,153.311,225.782,24.1347,0
21,3,907.601,192.476,860.576,55.4084,0
21,5,137.682,415.859,90.6582,323.795,0
21,6,974.188,198.366,927.2,69.1088,0
21,10,523.53,198.372,478.542,57.4036,0
21,7,846.855,116.044,805.625,69.0425,0
21,11,458.871,198.377,413.802,59.2759,0
21,8,94.5449,71.0621,55.315,5.34491,0
21,9,607.866,415.881,509.834,290.514,1
21,12,400.132,116.015,337.45,5.35806,0
22,1,782.168,133.792,740.969,25.9567,0
22,2,1150.41,441.335,1062.4,304.068,0
22,0,696.014,572.525,552.949,402.14,1
22,3,907.606,192.468,860.569,55.4107,0
22,4,270.835,157.235,225.785,24.1348,0
22,5,137.683,415.854,90.6587,323.794,0
22,6,974.182,198.395,929.046,69.1071,0
22,10,523.532,196.421,478.552,57.3998,0
22,7,846.84,116.041,805.639,69.0452,0
22,11,458.871,196.432,413.802,59.2788,0
22,8,94.5379,71.0595,55.3083,5.34467,0
22,9,607.861,415.878,509.837,290.529,1
22,12,400.139,116.014,337.458,5.35815,0
23,1,782.174,135.651,740.969,25.9591,0
23,2,1150.41,441.339,1064.27,304.051,0
23,0,696.02,572.518,554.853,402.16,1
23,4,268.92,155.26,225.789,24.1234,0
23,3,907.581,192.48,860.57,55.4117,0
23,5,137.684,415.855,90.6501,323.823,0
23,6,974.183,196.466,929.047,69.109,0
23,10,523.519,202.297,478.549,57.404,0
23,7,846.833,116.031,805.632,69.0484,0
23,11,458.873,188.584,413.799,59.2802,0
23,8,94.5316,71.0544,55.3047,5.34472,0
23,9,607.857,415.88,509.84,290.53,1
23,12,400.137,114.148,337.455,5.35784,0
24,1,780.266,135.652,740.966,25.9647,0
24,2,1150.41,443.186,1064.28,304.05,0
24,4,268.922,155.279,225.782,24.1208,0
24,0,696.041,570.674,554.883,402.151,1
24,3,907.585,180.808,862.478,55.4161,0
24,5,137.68,415.833,90.6467,325.725,0
24,6,974.185,198.364,927.198,69.1075,0
24,10,523.515,149.388,478.556,59.2475,0
24,7,846.847,116.023,805.629,69.0377,0
24,8,94.5289,71.0607,55.3118,5.34489,0
24,11,458.875,186.606,413.807,59.2831,0
24,9,607.849,415.871,509.836,290.529,1
24,12,400.15,114.115,337.452,5.35621,0
25,1,782.195,133.809,740.966,25.9703,0
25,2,1150.41,443.186,1064.28,304.052,0
25,4,266.945,153.294,225.783,24.1192,0
25,3,907.585,180.821,860.579,55.4155,0
25,0,696.049,570.679,554.889,402.119,1
25,5,137.67,415.843,90.6457,325.714,0
25,6,974.187,198.348,927.196,69.1013,0
25,10,523.548,202.289,478.541,57.3951,0
25,11,458.874,186.621,413.818,59.277,0
25,8,94.5318,71.0747,55.3317,5.34581,0
25,9,607.829,415.844,509.846,290.525,1
25,7,846.831,116.006,805.648,68.9928,0
25,12,400.149,114.097,337.473,5.35378,0
26,1,782.163,135.661,740.965,25.9706,0
26,2,1150.41,441.337,1064.28,304.063,0
26,0,697.882,570.686,551.046,400.215,1
26,4,266.959,153.32,225.785,24.1213,0
26,3,907.579,182.735,860.561,55.4133,0
26,5,137.689,415.849,90.6473,323.802,0
26,6,974.186,198.353,927.193,69.1085,0
26,10,523.511,147.456,478.562,59.2507,0
26,8,94.556,71.0966,55.3411,5.34539,0
26,11,458.873,182.712,413.825,59.2858,0
26,9,607.827,415.847,509.846,290.527,1
26,12,400.155,114.102,337.463,5.35309,0
26,7,846.84,116.019,805.673,68.9823,0
